rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
58,subscribers,B+,deddy corbuzier,entertainment,58,414K,38503536,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
59,subscribers,A-,Aquarius Musikindo,music,665,398K,510468705,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
60,subscribers,B,The Consortium,entertainment,86,396K,40784834,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
61,subscribers,B,AULION,people,61,394K,25505088,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
62,subscribers,B+,VianoGaming,games,232,393K,78893146,https://socialblade.com/youtube/user/9f36ema-nagad4hfqrfpew,2022-09-15T03:45:56+00Z,socialblade
63,subscribers,B,JKT48,music,1028,392K,50999189,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
64,subscribers,B+,rachel goddard,howto,234,389K,43369372,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
65,subscribers,B,keluarga el,people,256,383K,47730373,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
66,subscribers,B+,Shaun the Sheep [BahasaIndonesia],film,143,379K,283514874,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
67,subscribers,B,Fathia Izzati,people,138,373K,30023867,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
68,subscribers,A-,Stand Up Kompas TV,people,1293,369K,245610721,https://socialblade.com/youtube/user/8zz084em5pohjs6kk2bpaw,2022-09-15T03:45:56+00Z,socialblade
69,subscribers,B+,Keira Charma,entertainment,183,363K,81737733,https://socialblade.com/youtube/user/4k2fqygevgc8fxcj5s5xag,2022-09-15T03:45:56+00Z,socialblade
70,subscribers,A-,ascadamusik,music,109,361K,339423254,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
71,subscribers,B+,JalanTikus,tech,446,359K,55038085,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
72,subscribers,A-,KidsF,film,304,357K,237203905,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
